0020," ",_formatting,&sp;,1,,,BasLat,3.0,SPACE,accepted,,0,,"2025-09-25 09:37:48",https://mufi.info/q.php?p=mufi/chars/unichar/32
0021,!,_punctuation,&excl;,0,,,BasLat,3.0,"EXCLAMATION MARK",accepted,,0,,"2025-09-25 09:37:42",https://mufi.info/q.php?p=mufi/chars/unichar/33
0022,"""",_punctuation,&quot;,0,,,BasLat,3.0,"QUOTATION MARK",accepted,,0,"In SGML/XML encoded documents, the quotation mark is used to delimit attributes. The entity ‘&amp;quot;’ refers to the quotation mark as such.","2025-09-25 09:37:47",https://mufi.info/q.php?p=mufi/chars/unichar/34
0023,#,_symbols,&num;,0,,,BasLat,3.0,"NUMBER SIGN",accepted,,0,,"2025-09-25 09:37:45",https://mufi.info/q.php?p=mufi/chars/unichar/35
0024,$,_symbols,&dollar;,0,,,BasLat,3.0,"DOLLAR SIGN",accepted,,0,,"2025-09-25 09:37:41",https://mufi.info/q.php?p=mufi/chars/unichar/36
0025,%,_symbols,&percnt;,0,,,BasLat,3.0,"PERCENT SIGN",accepted,,0,,"2025-09-25 09:37:46",https://mufi.info/q.php?p=mufi/chars/unichar/37
0026,&,_spacing,&amp;,0,,,BasLat,3.0,AMPERSAND,accepted,,0,"In Medieval primary sources, the ampersand was used as an abbreviation for the conjunction ‘and’ (Latin ‘et’, Medieval Nordic ‘ok’, etc.), in which case it can be specified by markup, e.g. by the  element. In SGML/XML encoded documents, the ampersand is the opening character of an entity name, as exemplified throughout this recommendation. To avoid confusion, the ampersand as such can be encoded with the entity ‘&’. In Medieval primary sources, the ampersand was used as an abbreviation for the conjunction ‘and’ (Latin ‘et’, Medieval Nordic ‘ok’, etc.), in which case it can be specified by markup, e.g. by the element.","2025-09-25 09:37:38",https://mufi.info/q.php?p=mufi/chars/unichar/38
0027,',_punctuation,&apos;,0,,,BasLat,3.0,APOSTROPHE,accepted,,0,"A sign looking like the apostrophe was used as an abbreviation for ‘i’ or ‘e’. Cf. D.A. Seip, Palæografi: Norge og Island (Nordisk kultur 23:B), Oslo etc. 1954, p. 125. In such cases, we recommend that the character 02BC LATIN ABBREVIATION SIGN APOSTROPHE in section 4 above should be used.","2025-09-25 09:37:47",https://mufi.info/q.php?p=mufi/chars/unichar/39
0028,(,_punctuation,&lpar;,0,,,BasLat,3.0,"LEFT PARENTHESIS",accepted,,0,,"2025-09-25 09:37:46",https://mufi.info/q.php?p=mufi/chars/unichar/40
0029,),_punctuation,&rpar;,0,,,BasLat,3.0,"RIGHT PARENTHESIS",accepted,,0,,"2025-09-25 09:37:46",https://mufi.info/q.php?p=mufi/chars/unichar/41
002A,*,_symbols,&ast;,0,,,BasLat,3.0,ASTERISK,accepted,,0,,"2025-09-25 09:37:39",https://mufi.info/q.php?p=mufi/chars/unichar/42
002B,+,_symbols,&plus;,0,,,BasLat,3.0,"PLUS SIGN",accepted,,0,,"2025-09-25 09:37:47",https://mufi.info/q.php?p=mufi/chars/unichar/43
